Time,/fdm/jsbsim/simulation/sim-time-sec,/fdm/jsbsim/position/lat-gc-deg,/fdm/jsbsim/position/long-gc-deg,/fdm/jsbsim/position/h-sl-ft,/fdm/jsbsim/position/h-agl-ft,/fdm/jsbsim/attitude/phi-deg,/fdm/jsbsim/attitude/theta-deg,/fdm/jsbsim/attitude/psi-deg,/fdm/jsbsim/velocities/vt-fps,/fdm/jsbsim/velocities/vc-kts,/fdm/jsbsim/velocities/v-north-fps,/fdm/jsbsim/velocities/v-east-fps,/fdm/jsbsim/velocities/v-down-fps,/fdm/jsbsim/velocities/p-rad_sec,/fdm/jsbsim/velocities/q-rad_sec,/fdm/jsbsim/velocities/r-rad_sec,/fdm/jsbsim/accelerations/udot-ft_sec2,/fdm/jsbsim/accelerations/vdot-ft_sec2,/fdm/jsbsim/accelerations/wdot-ft_sec2,/fdm/jsbsim/aero/alpha-rad,/fdm/jsbsim/fcs/throttle-cmd-norm,/fdm/jsbsim/fcs/rato-throttle-cmd-norm,/fdm/jsbsim/propulsion/engine/thrust-lbs,/fdm/jsbsim/propulsion/engine[1]/thrust-lbs,/fdm/jsbsim/propulsion/engine[2]/thrust-lbs,/fdm/jsbsim/inertia/weight-lbs,/fdm/jsbsim/inertia/mass-slugs,/fdm/jsbsim/fcs/aileron-cmd-norm,/fdm/jsbsim/fcs/elevator-cmd-norm,/fdm/jsbsim/fcs/rudder-cmd-norm,/fdm/jsbsim/fcs/left-elevon-pos-rad,/fdm/jsbsim/fcs/right-elevon-pos-rad,/fdm/jsbsim/fcs/rudder3-pos-rad,/fdm/jsbsim/fcs/rudder4-pos-rad,/fdm/jsbsim/aero/sr75/roll_moment,/fdm/jsbsim/aero/sr75/pitch_moment,/fdm/jsbsim/aero/sr75/yaw_moment
53.22833333,53.2283333332930439,32.3639269377805689,74.3658492544474541,0.556993141770362854,0.55699056786363188,-0.00162398371167051837,-1.98654858952369917,315.267841902568193,40.1458844008459579,23.7855924364299582,28.5180899409845985,-28.2561600521352219,-9.94823206672545979e-05,3.34442027848374113e-06,3.41498807743031765e-05,0.000394533793763503248,6.47907812757751245,-0.00124888300526282241,-0.22346492166021778,-0.0346742933736360337,0.561650965701499194,0,31.3296763564475746,31.3296763564475746,0,266.737194049516802,8.29044532285994862,0,0,0,0,0,0,0,0.000459454379615449409,1.46513198082052032,-0.00504815753431614445
53.25333333,53.2533333332930212,32.3639288957254365,74.3658469577352434,0.556995004415512085,0.55699242980794661,-0.00163882477552192022,-1.98649620499110058,315.268407182562441,40.3081199700409627,23.8817136001329651,28.6336003211989656,-28.370080518367601,-0.000100705921220134442,3.36241371761109264e-06,3.51529811438546904e-05,0.000396046635342761199,6.48411910680931669,-0.00125877204367095055,-0.223587685943311409,-0.0346733995046019233,0.561889843759561969,0,31.3537324443569538,31.3537324443569538,0,266.735548053877494,8.29039416375220739,0,0,0,0,0,0,0,0.000467757598533816003,1.4769402212681868,-0.00509396078538756469
53.27833333,53.2783333332929985,32.3639308615879386,74.3658446517785165,0.556996908038854599,0.556994334146546977,-0.00165371381779638054,-1.98644237007683877,315.268974622082851,40.4704811844731722,23.9779092059982055,28.7492031094639131,-28.4840862295598605,-0.000101908211592727227,3.38049279229224773e-06,3.61585759719070451e-05,0.000397554111481445761,6.48912280360819871,-0.00126865621050210181,-0.223707779691206476,-0.0346724796242140545,0.562127233640189572,0,31.3776488011953028,31.3776488011953028,0,266.733901131577284,8.29034297584296276,0,0,0,0,0,0,0,0.000476166316060808257,1.48880361985667897,-0.00513999137582984988
53.30333333,53.3033333332929757,32.3639328353743991,74.3658423365703811,0.556998837739229202,0.556996261312513563,-0.00166865063141215047,-1.98638709086825949,315.269544213365009,40.6329671102427028,24.0741787006970434,28.8648976540321414,-28.5981765165124138,-0.000103134187546816136,3.40046033584004545e-06,3.71551419044732244e-05,0.000399056081539571166,6.49408934478549682,-0.00127853043806983036,-0.223826174135718037,-0.0346715349543293208,0.562363144614522414,0,31.4014261715935739,31.4014261715935739,0,266.732253288185575,8.2902917593053207,0,0,0,0,0,0,0,0.000484647286941917489,1.50072249775277888,-0.00518624787702659518
53.32833333,53.328333333292953,32.3639348170910566,74.3658400121039733,0.557000797241926193,0.556998221089306189,-0.00168363438382020591,-1.98633037087116038,315.270115948487785,40.7955768202875575,24.170521534955391,28.9806833078870696,-28.7123507149654422,-0.000104347244274549666,3.41904975481250245e-06,3.81534273554548489e-05,0.000400552512150334874,6.49901881486456467,-0.00128839896261379386,-0.223944080879335317,-0.0346705646537437892,0.562597585895943997,0,31.4250652970874995,31.4250652970874995,0,266.730604529239599,8.29024051431138176,0,0,0,0,0,0,0,0.00049326239041827904,1.51269659006908852,-0.00523273004466345663
53.35333333,53.3533333332929303,32.3639368067441495,74.3658376783725572,0.557002782821655273,0.557000203693462703,-0.00169866440865411891,-1.98627221082820049,315.270689819389418,40.9583093905584903,24.2669371613279701,29.0965594260481417,-28.8266081628835522,-0.00010555641177267816,3.43845745737475229e-06,3.91488309997664613e-05,0.000402043257152324431,6.50391149856796069,-0.00129825694773290021,-0.224059889392570433,-0.034669568961540019,0.562830566640438068,0,31.4485669161549062,31.4485669161549062,0,266.728954860244357,8.29018924103224819,0,0,0,0,0,0,0,0.000501970967854975547,1.52472602009196412,-0.00527943632784078857
53.37833333,53.3783333332929075,32.3639388043398384,74.3658353353693684,0.557004805654287338,0.55700223195305798,-0.00171373928292596644,-1.98621261477860589,315.271265817846597,41.121163901663337,24.363425035065859,29.2125253667397544,-28.9409482016124144,-0.000106760698688868061,3.45850629565510595e-06,4.01422928515262622e-05,0.000403528218089591257,6.50876757015971386,-0.0013081035084548942,-0.224173581235989933,-0.0346685479270607694,0.563062095946948338,0,31.4719317641825,31.4719317641825,0,266.727304286673018,8.29013793963803103,0,0,0,0,0,0,0,0.000510776838355103441,1.53681077810037281,-0.00532636567689157275
53.40333333,53.4033333332928848,32.3639408098842978,74.3658329830877136,0.557006843388080597,0.557004263473096395,-0.00172885898761251542,-1.98615159049896484,315.271843935515108,41.2841394373574957,24.4599846133148731,29.3285804902650078,-29.0553701748706388,-0.000107998685743071476,3.47851592035839231e-06,4.11287066874511077e-05,0.000405007304010185061,6.51358706927022446,-0.00131793758553022319,-0.224287313856861042,-0.0346675026237496797,0.56329218285773397,0,31.4951605734974294,31.4951605734974294,0,266.725652813966974,8.29008661029785188,0,0,0,0,0,0,0,0.000519693483045879662,1.54895103651714328,-0.00537351710648891097
53.42833333,53.4283333332928621,32.3639428233835602,74.3658306215210274,0.557008925825357437,0.557006347170876825,-0.00174402391607822319,-1.98608913902160267,315.272424163915275,41.44723508849696,24.5566153574285373,29.4447241618093223,-29.1698734315370345,-0.00010921644996364499,3.49673716174108811e-06,4.21190486153790982e-05,0.000406480452224014879,6.51837039861412393,-0.00132776225634775175,-0.224397337725095125,-0.0346664317607451311,0.563520836358722299,0,31.5182540733248935,31.5182540733248935,0,266.724000447535957,8.29003525317985179,0,0,0,0,0,0,0,0.0005287550848154858,1.5611464962739352,-0.00542088994286264985
53.45333333,53.4533333332928393,32.3639448448437008,74.365828250662716,0.557011038064956665,0.557008463479481297,-0.00175923390070586516,-1.98602526087668441,315.273006494412471,41.6104499478462841,24.6533167298963853,29.5609557478451102,-29.2844573219018507,-0.000110440271556155878,3.51754232930610449e-06,4.31049981046164864e-05,0.000407947472213314216,6.52311762745150681,-0.00133756711807497125,-0.224505396686097064,-0.0346653359864235108,0.563748065379859664,0,31.5412129898475584,31.5412129898475584,0,266.722347192758491,8.28998386845120194,0,0,0,0,0,0,0,0.000537878498461421867,1.57339738228229109,-0.00546848199049547543
